station,latitude,longitude,trafic,ville,ligne
LOURMEL_8,3.785017529507497,52.6111940898508,2424947,Paris,8
LOUVRERIVOLI_1,3.809049807400069,52.62705082937428,2617507,Paris,1
MABILLON_10,3.8070045551974094,52.62184922269444,1963879,Paris,10
MADELEINE_8,3.801798757151728,52.63257746094897,7088856,Paris,8
MADELEINE_12,3.801798757151728,52.63257746094897,7088856,Paris,12
MADELEINE_14,3.801798757151728,52.63257746094897,7088856,Paris,14
MAIRIEDECLICHY_13,3.792058180625414,52.653468823794384,7105379,Clichy,13
MAIRIEDEMONTREUIL_9,3.851903471633985,52.63083795520953,8182788,Montreuil,9
MAIRIEDEMONTROUGE_4,3.8018133945367545,52.59918183578567,7081319,Montrouge,4
MAIRIEDESLILAS_11,3.8404375683191576,52.641586413261095,4817603,Les Lilas,11
MAIRIEDESTOUEN_13,3.8036386995347664,52.65987984309371,4641862,Saint Ouen,13
MAIRIEDISSY_12,3.7815434382195545,52.60130643254224,4473140,Issy Les Moulineaux,12
MAIRIEDIVRY_7,3.829527800642669,52.596208296845475,3351677,Ivry,7
MAISONBLANCHE_7,3.818250366791113,52.602777375208106,1974306,Paris,7
MAISONSALFORTLESJUILLIOTTES_8,3.85710827426946,52.59268718517839,1905384,Maisons -Alfort,8
MAISONSALFORTSTADE_8,3.851475193922022,52.59650895542237,2465520,Maisons -Alfort,8
MALAKOFFPLATEAUDEVANVES_13,3.792512886660029,52.60107434976417,3718080,Malakoff,13
MALAKOFFRUEETIENNEDOLET_13,3.792246723415974,52.596329196549135,2140693,Malakoff,13
MALESHERBES_3,3.794321605793169,52.640361053041424,2628908,Paris,3
MARAICHERS_9,3.837252378639165,52.62380110964809,2788149,Paris,9
MARCADETPOISSONNIERS_4,3.8113415925554257,52.64708481878608,5285526,Paris,4
MARCADETPOISSONNIERS_12,3.8113415925554257,52.64708481878608,5285526,Paris,12
MARCELSEMBAT_9,3.768595945221672,52.60665907003619,5958354,Boulogne Billancourt,9
MARXDORMOY_12,3.815772515240438,52.6467925458248,3616802,Paris,12
MAUBERTMUTUALITE_10,3.812513657454345,52.62035931934331,2349339,Paris,10
MENILMONTANT_2,3.8268750293350977,52.63220157902552,4359581,Paris,2
